Order Date,Book Title,ISBN,Quantity,Cost Price (NPR),Supplier
2024-09-02,Philosophy of Nursing,978-9937-877-94-7,55,576.36,Sajjan Publications
2022-04-04,Renewable Energy Technologies,978-9937-578-32-6,80,210.56,Jagadamba Press
2021-12-07,Jeevan Chha,978-9937-147-46-1,11,327.52,Fine Print
2022-07-07,Nepal Ko Sanskriti,978-9937-328-41-5,67,1449.23,Shankar Books
2020-09-17,Nepal Ko Sangharsha,978-9937-588-42-6,96,1148.46,Shree Tara Books
2024-05-30,Himalaya Ka Katha,978-9937-326-98-0,61,990.49,Katha Ghar
2022-06-13,Nawa Safar,978-9937-536-12-6,81,1159.88,Ekta Books
2024-04-22,Sathi Ko Sandesh,978-9937-658-12-3,31,1101.77,Pragya Publications
2023-05-31,Chhalphal Ko Khushi,978-9937-563-36-2,54,342.95,Mandala Book Point
2019-05-05,Prakriti Ra Manav,978-9937-183-74-0,43,268.76,Nirmal Publication
2021-09-25,Manavadhikar Ko Samasya,978-9937-690-31-6,17,1272.26,Gyan Books
2021-06-23,Advertising: Theory and Strategy,978-9937-965-26-4,67,266.98,Avinash Prakashan
2022-10-07,Chhalphal Ko Ramailo Kahani,978-9937-659-45-9,33,907.93,Sita Ram Prakashan
2023-04-20,Pani Ra Maya,978-9937-711-10-7,99,598.25,Samyukta Prakashan
2019-09-27,Chhalphal Kahani,978-9937-783-60-9,35,381.52,Gyan Books
2021-10-03,Palpasa Café,978-9937-699-43-7,53,362.38,Adroit Publishers
2019-08-08,Chhalphal Sundar Kahani,978-9937-759-21-4,62,1302.25,Sajha Yatayat
2021-05-06,Bal Bhat Bhateni,978-9937-533-90-5,14,160.12,Birat Books
2022-06-28,Socio-Economic Development in Nepal,978-9937-826-41-6,48,820.86,Fine Print
2020-10-10,Teacher Education and Training,978-9937-468-75-1,20,350.47,Pragya Publications
2023-12-16,Philosophy: An Overview,978-9937-672-97-6,12,594.93,Fine Print
2020-11-25,Parvaaz,978-9937-247-46-4,45,1148.47,Avinash Prakashan
2023-12-02,Jatiya Sangharsha Ko Bato,978-9937-564-78-6,74,1360.03,Katha Ghar
2021-06-27,Financial Management: Theory and Practice,978-9937-986-42-4,55,847.02,Sajha Prakashan
2019-02-20,Nepali Prajatantra,978-9937-351-87-5,38,658.83,Katha Ghar
2020-01-09,Basanta,978-9937-437-28-0,18,313.79,Om Publications
2024-02-11,Neural Networks and Deep Learning,978-9937-884-87-7,68,1419.36,Sajjan Publications
2022-02-19,Biology Workbook,978-9937-762-66-9,79,901.49,Mitra and Brothers
2023-05-13,Sports Psychology,978-9937-749-37-8,41,1408.89,Srijana Prakashan
2021-10-02,Chhito Sundar,978-9937-584-80-8,71,379.98,Shree Tara Books
2022-10-10,Yatra Ko Prasiddhi,978-9937-272-40-0,43,803.57,Bookhill
2022-05-15,Ramailo Sundar,978-9937-588-23-4,59,220.32,Mitra and Brothers
2023-04-19,Nepali Prashasan,978-9937-366-82-9,89,847.66,Jagadamba Press
2021-07-26,The Beauty of Nepali Culture,978-9937-720-74-3,13,702.51,Katha Ghar
2024-07-07,Natural Disasters in Nepal,978-9937-261-33-8,40,874.72,Nepalaya
2019-07-23,Udaan Ko Yatra,978-9937-275-92-7,64,1079.11,Himalayan Book Centre
2021-10-13,The Beauty of Nepali Culture,978-9937-720-74-3,98,909.66,Birat Books
2022-09-29,Chori Ko Bato,978-9937-345-86-5,17,614.07,Himalayan Book Centre
2018-12-17,Introduction to Cultural Studies,978-9937-329-17-2,11,1365.67,Sajha Prakashan
2019-06-30,Nepali Itihas Ko Itihas,978-9937-587-69-9,83,399.15,Srijana Prakashan
2020-08-03,Indigenous Rights and Issues,978-9937-794-76-1,13,997.27,Fine Print
2022-11-23,Safar Ki Samaya,978-9937-898-69-4,98,1149.79,Fine Print
2022-10-25,Ek Bato,978-9937-497-90-7,25,810.55,Educational Publishing House
2022-02-03,A Brief History of Nepal,978-9937-242-24-7,100,1121.39,Birat Books
2021-08-26,Nepal Ko Manav Ko Itihas,978-9937-196-73-8,11,876.17,Adroit Publishers
2019-09-06,Kheti Ko Katha,978-9937-219-80-4,76,200.91,Ekta Books
2021-09-05,Introduction to Forestry,978-9937-337-18-6,71,318.46,Gyan Books
2024-05-31,Arthik Vikas Ko Bato,978-9937-418-15-0,63,1368.32,Sajjan Publications
2023-08-23,Samajik Itihas,978-9937-946-64-9,53,884.98,Mahatma Publication
2021-03-28,Samaya Ka Safar,978-9937-253-92-5,65,1487.65,Shankar Books
2022-07-19,Global Health Issues,978-9937-583-74-0,15,835.26,Ratna Pustak Bhandar
2019-02-06,Dharmapath,978-9937-466-73-7,57,895.98,Siddhartha Books
2020-12-02,Classroom Management Techniques,978-9937-423-50-9,55,490.32,Sajha Prakashan
2020-06-03,Chhito Ramailo Ghar,978-9937-492-49-7,56,690.54,Om Publications
2024-02-23,Disaster Management,978-9937-109-52-4,68,1286.43,Gyan Books
2020-01-09,Sundar Pustak,978-9937-939-21-6,77,521.87,Sajha Yatayat
2021-06-08,Bato Ko Katha,978-9937-621-97-5,54,677.48,Adroit Publishers
2023-05-25,Janata Ko Manch,978-9937-947-63-1,90,1395.33,Ratna Pustak Bhandar
2021-09-06,Sunya Manchhe,978-9937-683-87-4,93,872.27,Avinash Prakashan
2022-06-09,Man Ko Vishwa,978-9937-592-15-6,24,1325.16,Siddhartha Books
2019-04-30,Parvaaz,978-9937-247-46-4,94,940.09,Mandala Book Point
2024-07-12,Khushi Ra Ghar,978-9937-531-23-4,22,1121.12,Fine Print
2020-01-28,Khushi Ko Yatra,978-9937-288-81-9,62,694.17,Srijana Prakashan
2023-08-02,Sajilo Yatra,978-9937-901-70-8,44,972.13,Adroit Publishers
2023-09-13,Ramailo Kahani,978-9937-102-66-3,47,1196.94,Gyan Books
2019-06-07,Yatra Ki Manzil,978-9937-367-74-1,63,379.15,Himal Books
2020-10-07,Sukha Dukha,978-9937-619-39-8,45,714.15,Sita Ram Prakashan
2022-04-01,Ghar Ko Khusi,978-9937-456-15-5,37,913.2,Pragya Publications
2022-12-03,Samaya Ko Dhamaka,978-9937-700-37-0,14,1021.4,Mitra and Brothers
2024-03-30,Shree Krishna,978-9937-506-20-3,42,537.76,Shrestha Books
2019-05-22,Business Strategy,978-9937-650-40-0,74,1390.09,Samyukta Prakashan
2024-06-02,Janata Ko Manch,978-9937-947-63-1,30,456.33,Ratna Pustak Bhandar
2023-12-15,Nepali Samaj Ko Vikas,978-9937-487-85-9,65,1377.26,Sajjan Publications
2019-02-09,Samajik Nyaya,978-9937-656-11-6,53,1450.15,Sajha Prakashan
2020-01-14,Naya Khushi,978-9937-559-55-6,75,997.7,Om Publications
2020-09-16,Farm Management,978-9937-530-60-6,28,903.3,Shankar Books
2023-10-31,Baal Ghar Ko Chhito,978-9937-735-17-9,93,1382.71,Bhimsen Publications
2024-02-19,Chhito Ramailo,978-9937-807-52-5,86,948.11,Bookhill
2020-02-20,Health Communication,978-9937-370-37-9,37,695.79,Sajjan Publications
2023-09-22,Nepali Rhymes,978-9937-398-35-1,68,992.92,Ratna Pustak Bhandar
2022-10-25,Disaster Management,978-9937-109-52-4,33,365.13,Samyukta Prakashan
2021-03-05,Dhalko Aakha,978-9937-513-28-5,36,424.64,Avinash Prakashan
2023-12-27,Dharmapath,978-9937-466-73-7,29,1445.03,Birat Books
2019-10-13,Parvaaz,978-9937-247-46-4,58,242.57,Jagadamba Press
2019-03-31,Sukanya,978-9937-858-10-9,15,1449.88,Srijana Prakashan
2021-10-16,Yatra Ma Duniya,978-9937-968-35-4,54,250.57,Jagadamba Press
2020-04-07,Geographical Information Systems (GIS),978-9937-533-97-5,76,255.47,Ratna Pustak Bhandar
2022-11-15,Sanskar Ko Asar,978-9937-160-42-9,12,1437.89,Shankar Books
2020-08-04,Nepali Grammar,978-9937-961-39-5,10,860.84,Sajha Prakashan
2022-02-22,Dharma Ko Dhan,978-9937-122-42-3,72,1080.87,Bookhill
2024-04-02,Smriti,978-9937-796-76-8,94,1108.68,Sajha Yatayat
2021-10-27,Samudayik Itihas,978-9937-938-27-4,21,762.23,Ratna Pustak Bhandar
2022-03-20,Samaya Ko Ramailo,978-9937-828-23-0,58,684.56,Srijana Prakashan
2022-05-28,Dhalko Aakha,978-9937-513-28-5,19,644.04,Shree Tara Books
2020-06-19,Psychology: An Introduction,978-9937-990-48-1,14,1137.29,Himal Books
2020-09-30,Ghar Ko Katha,978-9937-458-93-3,82,686.11,Jagadamba Press
2023-02-27,Khushi Ko Vishwa,978-9937-240-44-2,39,688.49,Nirmal Publication
2024-07-04,Development Economics,978-9937-460-61-5,32,194.78,Ekta Books
2024-05-14,Nepal Ko Bhatta,978-9937-425-49-5,13,616.51,Sajha Prakashan
2020-11-04,Negotiation Skills,978-9937-770-94-6,23,1467.19,Sajjan Publications
2023-10-07,Remote Sensing: Principles and Applications,978-9937-572-92-5,83,647.15,Shrestha Books
2024-03-03,Exercise Physiology,978-9937-232-63-2,14,934.6,Sajha Yatayat
2018-12-06,Sathi ko Diary,978-9937-893-95-1,15,636.27,Mitra and Brothers
2023-09-20,Ek Paila Khushi,978-9937-427-89-6,71,211.38,Nirmal Publication
2021-07-04,Social Justice and Equity,978-9937-621-42-7,94,1493.23,Adroit Publishers
2020-03-21,Computer Science: Class 11,978-9937-950-20-6,21,627.02,Pragya Publications
2021-11-15,Film Studies: An Introduction,978-9937-483-73-2,63,1338.52,Bhimsen Publications
2019-01-31,Bal Yatra Sundar,978-9937-168-26-2,57,989.41,Shankar Books
2021-07-04,Ramailo Kahani,978-9937-102-66-3,16,689.04,Bookhill
2023-04-27,Suna Ko Chhito,978-9937-472-80-5,73,1111.89,Educational Publishing House
2020-09-21,Satyabadi,978-9937-896-63-4,85,1057.26,Sajha Yatayat
2020-01-14,Bal Bhet,978-9937-496-36-6,11,1159.51,Sita Ram Prakashan
2024-05-09,Chandra Kanta,978-9937-360-66-2,44,1130.25,Nepalaya
2024-07-12,Nepali Prashasan,978-9937-366-82-9,68,781.15,Ratna Pustak Bhandar
2022-10-31,Baal Ramailo Ghar,978-9937-654-20-5,65,415.3,Shree Tara Books
2021-12-19,Arthik Udyog,978-9937-169-72-1,43,1451.65,Bhimsen Publications
2020-07-09,Computer Architecture Fundamentals,978-9937-962-93-7,76,1366.3,Katha Ghar
2019-02-12,Chhito Bal Ghar,978-9937-517-34-0,17,710.34,Gyan Books
2022-02-15,Arthik Bhatta,978-9937-653-52-6,65,1350.53,Shrestha Books
2024-07-14,Prashasan Ko Ramailo,978-9937-338-53-1,44,639.32,Shrestha Books
2018-12-08,Operations Research,978-9937-803-70-0,82,1216.17,Shankar Books
2021-06-23,Naya Chhaya,978-9937-797-13-5,48,585.64,Educational Publishing House
2022-08-18,Ramita,978-9937-820-79-6,91,633.4,Samyukta Prakashan
2019-04-15,Jindagi Ko Katha,978-9937-932-24-2,40,292.97,Ekta Books
2021-06-06,Baal Yatra Sundar Ghar,978-9937-411-38-2,69,1356.92,Sajha Prakashan
2022-10-05,Manchhe Ko Aakanksha,978-9937-959-77-2,97,906.48,Ekta Books
2023-02-10,Architecture: Basics and Design Principles,978-9937-979-15-1,95,1203.31,Ekta Books
2019-10-07,Ramailo Ghar Ko Katha,978-9937-254-86-9,37,1346.85,Om Publications
2022-05-02,Duniya Ko Dhan,978-9937-677-61-3,57,281.73,Mitra and Brothers
2024-05-24,Kura Kura,978-9937-732-77-3,30,1086.7,Gyan Books
2024-08-08,Pani Ra Maya,978-9937-711-10-7,78,1402.94,Bookhill
2024-04-10,Quantitative Aptitude,978-9937-628-16-3,50,1016.05,Mahatma Publication
2022-11-26,Chhito Ghar Yatra,978-9937-813-69-6,44,592.61,Pragya Publications
2022-06-06,Power Systems Engineering,978-9937-407-28-2,19,224.36,Sajha Prakashan
2022-11-09,Environmental Chemistry,978-9937-690-29-9,22,1232.37,Siddhartha Books
2022-06-04,Water Resource Management,978-9937-453-22-6,47,491.37,Samyukta Prakashan
2018-11-27,Jatra Ko Rukh,978-9937-906-12-3,51,1197.6,Birat Books
2023-06-01,Introduction to Fashion Design,978-9937-124-38-6,99,632.6,Fine Print
2019-03-14,Business Law,978-9937-414-50-1,46,661.11,Himal Books
2023-07-06,Baal Ghar Ko Yatra,978-9937-778-64-5,53,1288.67,Mandala Book Point
2020-05-10,Katha Haru Ko Vishwa,978-9937-250-26-4,85,1036.34,Fine Print
2021-04-28,Nepal Ko Khusi,978-9937-723-11-6,24,1085.51,Shankar Books
2019-10-01,Anubhav,978-9937-877-31-3,51,1094.54,Katha Ghar
2021-08-06,Dhananjoy,978-9937-302-77-5,68,1175.37,Om Publications
2020-02-13,Qualitative Research Methods,978-9937-898-21-9,72,261.92,Nirmal Publication
2020-05-05,Chhito,978-9937-133-54-2,81,683.01,Sajha Yatayat
2020-07-04,Maya Ko Samaya,978-9937-610-66-4,77,888.22,Nepalaya
2023-09-27,Fundamentals of Midwifery,978-9937-674-15-3,10,1179.72,Avinash Prakashan
2022-11-12,Chhito Bato,978-9937-724-79-1,97,1088.97,Sajjan Publications
2024-01-17,Dharma,978-9937-908-39-2,92,1086.61,Shrestha Books
2023-07-20,Nepali Bhasha ra Sahitya,978-9937-366-62-8,72,552.82,Nepalaya
2019-08-30,Mero Nepal,978-9937-295-58-7,43,1100.7,Samyukta Prakashan
2019-01-30,Yug Ko Ghar,978-9937-668-74-4,55,1147.34,Himal Books
2020-02-24,Microeconomics: Principles and Practices,978-9937-148-52-9,80,1014.07,Himalayan Book Centre
2023-10-31,Bichar,978-9937-749-13-5,45,1491.56,Katha Ghar
2022-09-02,Neuroscience: Basics and Applications,978-9937-783-88-2,71,1217.32,Avinash Prakashan
2020-04-04,Manavadhikar Ra Nyaya,978-9937-334-28-0,61,921.37,Samyukta Prakashan
2021-04-13,Yatra,978-9937-236-75-3,82,1250.52,Shankar Books
2019-10-13,Anthropology of Music,978-9937-275-35-2,20,692.05,Nepalaya
2019-07-02,Khushi Ko Ghar Yatra,978-9937-385-88-8,34,224.86,Jagadamba Press
2021-12-07,Sabai Ko Adhikar Ra Bato,978-9937-248-31-8,67,1372.96,Katha Ghar
2019-11-21,Manas Ka Safar,978-9937-140-21-7,19,721.13,Ekta Books
2022-11-13,Bal Ko Chalo,978-9937-320-83-1,82,254.35,Adroit Publishers
2023-10-31,Bhagawat Geeta,978-9937-867-51-9,17,1298.66,Nirmal Publication
2020-05-20,Kaatnako Paani,978-9937-856-50-1,32,168.55,Adroit Publishers
2022-04-19,Musical Theory and Composition,978-9937-338-71-4,31,934.03,Sita Ram Prakashan
2022-12-18,Environmental Engineering Principles,978-9937-762-92-1,13,267.28,Bookhill
2022-09-29,Introduction to Topology,978-9937-706-80-2,15,1495.8,Sajjan Publications
2020-06-19,Rajesh,978-9937-582-14-1,20,495.08,Gyan Books
2021-06-03,Gender Studies in Nepal,978-9937-702-97-3,61,176.62,Katha Ghar
2021-03-30,Dhaak Ko Dhan,978-9937-532-19-9,80,305.95,Om Publications
2019-10-26,Introduction to Forestry,978-9937-337-18-6,32,369.0,Sita Ram Prakashan
2022-02-27,Nepali Samasya Ko Katha,978-9937-551-67-8,86,1395.74,Shree Tara Books
2019-08-07,Bujhnu Parne Katha,978-9937-175-14-3,93,1066.68,Shree Tara Books
2022-02-27,Chura,978-9937-323-61-1,73,671.51,Sajha Yatayat
2020-06-03,Sathi Ko Ramailo,978-9937-377-11-0,29,1385.16,Shankar Books
2021-07-30,Introduction to Law,978-9937-843-72-3,53,300.17,Siddhartha Books
2022-10-31,Physics - Kramik Pathakram,978-9937-626-91-3,20,477.53,Educational Publishing House
2021-12-08,Sahakarita,978-9937-696-59-8,67,1187.59,Avinash Prakashan
2022-03-19,Jatra Ma Bhet,978-9937-697-42-2,18,1245.93,Sajjan Publications
2019-09-19,Dharma Ra Ramailo,978-9937-986-59-4,52,502.53,Samyukta Prakashan
2021-08-10,Dev,978-9937-581-66-0,29,1435.79,Pragya Publications
2022-04-27,Chhalphal Ghar Pataka,978-9937-596-41-8,40,1284.5,Ekta Books
2023-08-30,Creative Writing: Theory and Practice,978-9937-772-22-1,62,775.63,Birat Books
2020-10-02,Bal Ramailo,978-9937-665-68-3,75,1061.48,Fine Print
2019-10-25,Nepali Grammar,978-9937-961-39-5,85,1018.45,Educational Publishing House
2022-09-27,Dai Ko Yatra,978-9937-101-13-5,41,1067.68,Samyukta Prakashan
2023-12-03,Samadhan,978-9937-852-57-4,18,1037.77,Mahatma Publication
2020-11-20,Philosophy of Nursing,978-9937-877-94-7,68,936.44,Mandala Book Point
2024-04-03,Vimarsha,978-9937-501-41-6,93,464.77,Sajjan Publications
2023-09-14,Advertising: Theory and Strategy,978-9937-965-26-4,45,1306.55,Samyukta Prakashan
2019-10-12,Pariwartan Ko Samaya,978-9937-278-79-7,53,413.82,Gyan Books
2022-02-03,Introduction to Physical Education,978-9937-176-36-0,62,1284.68,Ekta Books
2022-01-22,Nepali Prashasan Ko Bato,978-9937-345-47-2,46,1168.46,Samyukta Prakashan
2021-01-20,Ankhako Pani,978-9937-657-70-5,75,421.93,Himalayan Book Centre
2024-09-05,Dai Ko Yatra,978-9937-101-13-5,80,767.37,Siddhartha Books
2023-09-07,Khushi Ko Yatra Sundar,978-9937-932-11-9,19,1125.9,Nepalaya
2021-07-06,Maya Ko Katha,978-9937-761-49-7,84,458.22,Sajjan Publications
2021-12-01,Vikas Ra Samaj,978-9937-678-84-1,96,671.75,Mandala Book Point
2022-01-19,Anand Ko Ghar,978-9937-518-11-4,48,737.14,Birat Books
2019-05-31,Muna Madan,978-9937-869-48-4,23,307.43,Siddhartha Books
2022-08-24,Yugal Gurung,978-9937-979-11-1,83,1091.38,Mitra and Brothers
2022-08-18,Bal Yatra Ramailo,978-9937-886-64-5,76,773.09,Bhimsen Publications
2019-04-30,Katha Haru,978-9937-178-94-8,46,1180.33,Adroit Publishers
2018-11-05,Aama Ko Asamanta,978-9937-315-94-8,78,524.56,Om Publications
2020-01-17,Samaya Ko Yatra,978-9937-332-46-5,37,971.43,Shree Tara Books
2020-01-17,Chhito Ghar Sundar,978-9937-479-71-9,80,604.72,Srijana Prakashan
2020-11-17,Sathi Haru Ka Safar,978-9937-945-42-9,46,1050.68,Katha Ghar
2023-05-16,Ujyalo Sathi,978-9937-354-42-0,31,1059.26,Himal Books
2023-06-04,Yatra Ma Duniya,978-9937-968-35-4,42,750.35,Himal Books
2023-09-25,Chhaijan,978-9937-261-25-1,54,782.54,Sajjan Publications
2019-08-02,Maya Ko Katha,978-9937-761-49-7,97,297.44,Ratna Pustak Bhandar
2020-11-05,Nepal Ko Yatra,978-9937-223-32-3,52,322.11,Srijana Prakashan
2021-07-26,Jatiya Bhasha,978-9937-697-75-2,68,752.94,Bookhill
2019-07-28,Bheti,978-9937-381-66-4,67,1482.23,Mandala Book Point
2021-01-27,Kahani Ko Udaan,978-9937-323-11-5,54,1024.61,Shankar Books
2019-01-19,Shree 5 Ambareesh,978-9937-792-38-5,48,959.81,Katha Ghar
2023-06-14,Microprocessor Design: Theory and Applications,978-9937-516-38-6,60,731.43,Mitra and Brothers
2022-12-29,Baal Ramailo Kahani,978-9937-571-95-2,25,388.71,Srijana Prakashan
2024-03-06,Nepali Bhasha ra Sahitya,978-9937-366-62-8,81,1011.15,Sajjan Publications
2020-08-07,Bholanath,978-9937-787-47-5,29,1254.91,Shree Tara Books
2020-11-07,Public Administration in Nepal,978-9937-926-81-2,63,1242.59,Himalayan Book Centre
2024-05-16,Maya Ko Shabdaharu,978-9937-854-95-1,49,1143.72,Educational Publishing House
2022-07-18,Satya Harishchandra,978-9937-544-26-9,16,1380.68,Sita Ram Prakashan
2021-09-08,Pramod,978-9937-348-27-8,43,1336.17,Nirmal Publication
2019-09-12,Digital Transformation Strategies,978-9937-188-43-3,15,1161.21,Siddhartha Books
2022-05-30,Pratikriya,978-9937-318-19-5,52,722.34,Bookhill
2023-12-27,Sukhad,978-9937-526-83-8,72,1242.03,Katha Ghar
2023-03-30,Bal Yatra Ramailo,978-9937-886-64-5,71,395.45,Bookhill
2021-05-24,Madhav Ko Bato,978-9937-150-22-3,100,1166.55,Jagadamba Press
2022-11-10,Baal Manch,978-9937-612-80-5,71,542.83,Educational Publishing House
2019-01-22,Engineering Mechanics: Basics and Applications,978-9937-412-12-0,54,219.2,Sajjan Publications
2022-08-02,Data Analytics: Basics and Applications,978-9937-100-57-7,72,255.06,Sajjan Publications
2023-08-29,Contemporary Nepali Society,978-9937-670-35-8,100,319.86,Bhimsen Publications
2019-04-04,Calculus for Beginners,978-9937-860-36-6,55,813.25,Bhimsen Publications
2019-09-26,Maya Ra Sathi,978-9937-647-42-3,74,868.04,Sajha Yatayat
2020-02-07,Birgunj,978-9937-368-60-0,18,982.88,Katha Ghar
2023-06-27,Katha Ko Katha,978-9937-109-97-0,93,203.36,Sajjan Publications
2023-01-24,Nepal ko Yatra,978-9937-522-32-0,12,864.05,Bhimsen Publications
2022-05-01,Mathematical Logic and Reasoning,978-9937-957-97-4,74,714.91,Avinash Prakashan
2023-09-08,Sabai Ko Itihas,978-9937-546-37-6,14,1036.74,Bookhill
2024-08-28,Chhalphal Ghar Pataka,978-9937-596-41-8,38,1222.96,Himalayan Book Centre
2020-03-17,Linear Algebra,978-9937-317-46-8,31,1467.65,Mandala Book Point
2023-08-31,Madhav Ko Bato,978-9937-150-22-3,83,1328.27,Katha Ghar
2024-01-01,Arthik Bhatta,978-9937-653-52-6,63,1430.23,Sajha Yatayat
2021-05-04,Aasha Ko Katha,978-9937-708-37-3,40,193.41,Srijana Prakashan
2020-02-23,Introduction to Business Intelligence,978-9937-352-25-2,26,455.02,Nepalaya
2023-11-03,Maanav Ra Yatra,978-9937-390-90-8,21,177.84,Himalayan Book Centre
2019-02-26,Baal Sundar Yatra,978-9937-427-96-0,56,788.34,Educational Publishing House
2024-09-25,Bal Ramailo Patak Yatra,978-9937-481-43-0,33,541.57,Ratna Pustak Bhandar
2022-11-12,Sampurna,978-9937-575-35-7,94,498.96,Gyan Books
2019-11-26,Ramailo Ghar Kahani,978-9937-109-36-1,56,1290.62,Katha Ghar
2021-10-24,Bal Bhet,978-9937-496-36-6,93,605.05,Fine Print
2018-11-18,Nepali Sahyatri,978-9937-867-83-3,39,1324.89,Ratna Pustak Bhandar
2021-01-03,Negotiation Skills,978-9937-770-94-6,65,1135.09,Siddhartha Books
2024-06-10,Nepal Ko Udyog Yatra,978-9937-692-86-8,72,163.7,Om Publications
2024-04-29,Nawa Safar,978-9937-536-12-6,56,1075.06,Educational Publishing House
2021-02-04,Introduction to Fashion Design,978-9937-124-38-6,32,1204.3,Mahatma Publication
2023-07-18,Shiksha Ra Vikas,978-9937-230-15-0,15,1338.61,Shrestha Books
2021-07-15,Nepal Ko Itihas Ra Bikas,978-9937-301-77-0,20,786.19,Shree Tara Books
2020-03-21,Microprocessor Design: Theory and Applications,978-9937-516-38-6,65,175.13,Sajjan Publications
2021-04-13,Sajilo Yatra,978-9937-901-70-8,81,188.29,Birat Books
2023-11-30,Introduction to Communication Studies,978-9937-820-21-3,45,1214.41,Shree Tara Books
2019-04-16,Jindagi Ko Ramailo,978-9937-641-21-4,47,878.28,Ratna Pustak Bhandar
2020-08-31,Dhoondh,978-9937-484-50-6,51,729.87,Avinash Prakashan
2022-06-01,Shrestha Manchhe,978-9937-817-62-6,14,177.3,Nirmal Publication
2020-01-27,Kahani Ko Duniya,978-9937-558-79-2,38,1065.55,Nirmal Publication
2023-07-07,Bal Yatra Sundar,978-9937-168-26-2,26,398.42,Avinash Prakashan
2021-05-16,Computer Science: Class 11,978-9937-950-20-6,26,1485.35,Himal Books
2021-04-16,Arthik Sewa Ra Samasya,978-9937-374-86-5,100,791.74,Shree Tara Books
2023-02-10,Jindagiko Hawa,978-9937-465-73-6,54,228.97,Om Publications
2019-04-02,Yug,978-9937-241-94-9,100,204.03,Mitra and Brothers
2020-07-12,Kahani Ghar,978-9937-398-17-7,59,820.73,Pragya Publications
2023-12-24,Sangam,978-9937-929-58-2,46,971.37,Educational Publishing House
2021-02-17,Mechanics and Thermodynamics,978-9937-173-59-7,59,520.98,Sajha Yatayat
2023-10-26,Khusi Ko Pataka,978-9937-484-66-4,36,371.3,Mandala Book Point
2023-08-06,Panchhi,978-9937-782-94-8,70,402.09,Shrestha Books
2019-06-16,Ramailo Yatra Sundar,978-9937-809-86-2,67,254.73,Mandala Book Point
2023-01-12,Chhito Ghar Sundar,978-9937-479-71-9,36,278.56,Bhimsen Publications
2019-05-10,Shiksha Ra Khusi,978-9937-662-31-0,75,934.76,Adroit Publishers
2021-08-31,Mass Communication: Theory and Practice,978-9937-414-19-5,100,439.42,Birat Books
2019-06-03,Dharam Sangharsha,978-9937-549-51-8,22,743.41,Sita Ram Prakashan
2024-02-26,Sanjha,978-9937-754-53-6,14,1414.67,Shree Tara Books
2020-11-14,Nutritional Science and Dietetics,978-9937-825-66-0,18,720.08,Himalayan Book Centre
2021-05-30,Shiksha Ra Udyog,978-9937-923-16-7,49,1446.48,Samyukta Prakashan
2020-12-05,Katha Ko Katha,978-9937-109-97-0,48,910.31,Sajha Prakashan
2019-08-25,Nepali Samaj Ko Katha,978-9937-663-90-8,77,501.52,Srijana Prakashan
2024-01-13,Katha Ra Jatra,978-9937-634-66-7,56,786.89,Siddhartha Books
2020-01-13,Arthik Samasya,978-9937-690-15-9,51,259.96,Shrestha Books
2021-11-23,Shiksha Ra Nyaya,978-9937-493-62-9,31,265.19,Educational Publishing House
2020-02-24,Crisis Management,978-9937-484-12-0,65,320.82,Mandala Book Point
2021-07-01,Shree 5 Ambareesh,978-9937-792-38-5,33,771.07,Shree Tara Books
2020-05-10,Emotional Intelligence,978-9937-713-29-1,60,218.72,Shrestha Books
2020-01-16,Physics - Kramik Pathakram,978-9937-626-91-3,63,1202.63,Mandala Book Point
2021-12-07,History of Nepal: Ancient to Modern,978-9937-446-99-7,57,637.93,Srijana Prakashan
2021-02-12,Paisa Ko Katha,978-9937-907-84-4,49,812.88,Sajjan Publications
2022-01-22,Kagbeni Ko Bato,978-9937-279-16-5,63,1162.04,Siddhartha Books
2024-10-22,Khushi Ko Yatra Sundar,978-9937-932-11-9,64,332.28,Himal Books
2019-11-07,Fagun Daka,978-9937-501-24-1,89,417.47,Siddhartha Books
2020-02-16,Data Structures and Algorithms,978-9937-554-22-5,56,1218.2,Nirmal Publication
2019-01-26,Ujyalo Sathi,978-9937-354-42-0,100,362.78,Katha Ghar
2020-06-08,Patient Care and Management,978-9937-889-57-8,14,670.7,Mitra and Brothers
2023-04-22,Biology Workbook,978-9937-762-66-9,62,396.62,Mandala Book Point
2022-07-10,Kahani Ko Duniya,978-9937-558-79-2,44,1393.63,Shankar Books
2019-07-15,Cost Accounting Techniques,978-9937-392-31-3,32,1040.6,Sita Ram Prakashan
2019-03-01,Guru,978-9937-583-63-3,27,268.49,Samyukta Prakashan
2019-02-17,Jatiya Bhasha,978-9937-697-75-2,79,182.63,Jagadamba Press
2019-01-19,Chhito Ghar Sundar,978-9937-479-71-9,57,715.73,Srijana Prakashan
2022-02-04,Arthik Bhatta,978-9937-653-52-6,35,1494.87,Ekta Books
2023-03-22,Arthik Bhatta,978-9937-653-52-6,21,934.59,Himal Books
2021-10-12,Veterinary Science: Principles and Applications,978-9937-226-42-3,65,399.36,Pragya Publications
2020-12-23,Chhapakkai,978-9937-904-70-4,10,1468.68,Sajjan Publications
2023-06-23,Samaya Ma Duniya,978-9937-689-90-1,65,1073.39,Himalayan Book Centre
2020-09-20,Chhalphal Ko Ramailo Kahani,978-9937-659-45-9,65,990.35,Sajha Prakashan
2022-09-25,Dai Ko Yatra,978-9937-101-13-5,94,1362.2,Om Publications
