Book Title,Author,ISBN,Genre,Publication Year,Language,Stock,Price (NPR),Publisher,Reorder Point
Shahar Ko Katha,Nisha Kharel,978-9937-950-75-2,Academic,2021,Maithili,97,451.7,Mandala Book Point,8
Nepal Ko Sanskriti,Aastha Sharma,978-9937-328-41-5,Fiction,2024,English,51,1390.74,Himalayan Book Centre,19
Ramailo Katha,Geeta Tripathee,978-9937-311-28-4,Academic,2024,Maithili,6,475.96,Sajha Prakashan,20
Pahilo Pyaar,Ravi Thapa,978-9937-414-83-2,Fiction,2018,Nepali,92,1634.77,Fine Print,8
Ghar Ko Samaya,Suman Pokhrel,978-9937-805-39-2,Fiction,2019,English,53,753.76,Nepalaya,15
Jatra Ko Samaya,Arun Kumar Shrestha,978-9937-756-25-7,Children's books,2019,Maithili,44,1031.63,Himalayan Book Centre,8
Yatra Ko Sandesh,Girija Prasad Joshi,978-9937-378-95-1,Academic,2020,English,24,1368.48,Nepalaya,13
Manjushree,Pawan Thapa,978-9937-965-98-3,Academic,2024,English,69,246.61,Himalayan Book Centre,12
Gorkhali,Bhim Nidhi Tiwari,978-9937-311-18-7,Fiction,2024,Maithili,94,863.69,Mandala Book Point,13
Dharmapath,Sanjay Shrestha,978-9937-466-73-7,Fiction,2021,Nepali,98,590.93,Sajha Prakashan,10
Mantra,Sanjay Baral,978-9937-785-17-5,Fiction,2023,Maithili,71,410.91,Bookhill,20
Pukal,Maya Sharma,978-9937-686-93-8,Fiction,2024,Nepali,87,1425.0,Bookhill,14
Katha Nanda,Rachana Joshi,978-9937-781-42-7,Academic,2023,Maithili,83,1821.62,Pragya Publications,17
Mantra Ko Katha,Nirakar Shrestha,978-9937-784-75-7,Children's books,2019,Hindi,95,1919.72,Ratna Pustak Bhandar,8
Bholanath,Saroj Sharma,978-9937-787-47-5,Fiction,2021,Nepali,46,800.04,Fine Print,13
Dharma Ko Rasta,Dinesh Sharma,978-9937-598-11-4,Fiction,2019,Nepali,7,524.01,Fine Print,6
Gurukul,Gokul Joshi,978-9937-197-19-6,Fiction,2023,Maithili,43,411.39,Pragya Publications,14
Prashanta,Nirakar Shrestha,978-9937-608-21-8,Fiction,2024,English,92,1947.03,Fine Print,18
Siddhartha,Gopal Prasad Rimal,978-9937-508-21-4,Fiction,2019,Maithili,42,1270.5,Ekta Books,11
Ghar Ko Bato,Madhav Prasad Ghimire,978-9937-229-58-6,Academic,2018,Newari,18,1789.05,Mandala Book Point,9
Nepal Ko Samay,Jhamak Ghimire,978-9937-392-83-6,Fiction,2020,Nepali,93,1001.78,Pragya Publications,12
Yatra Ko Vikas,Bhanu Aacharya,978-9937-679-56-5,Fiction,2021,Newari,70,396.84,Mandala Book Point,20
Manav Ko Maya,Pratiksha Sharma,978-9937-278-97-6,Academic,2022,Hindi,72,926.18,Nepalaya,18
Mero Katha Haru,Rajan Mukarung,978-9937-245-98-5,Fiction,2022,English,0,1423.06,Educational Publishing House,5
Nepali Sangraha,Dhruba Chandra Gautam,978-9937-360-75-6,Fiction,2023,Newari,72,424.44,Mandala Book Point,6
Samaya Ko Yatra,Saroj Bhandari,978-9937-332-46-5,Academic,2024,Hindi,10,307.97,Sajha Prakashan,13
Yatra Ra Katha,Gopal Prasad Rimal,978-9937-369-34-2,Academic,2024,Hindi,71,1713.81,Pragya Publications,12
Samriddhi,Shrawan Mukarung,978-9937-679-61-6,Children's books,2021,English,45,477.55,Ekta Books,15
Maitri,Anita Shrestha,978-9937-987-76-3,Fiction,2020,Nepali,28,373.51,Mandala Book Point,13
Maya Ra Bato,Sanjay Kumar Thapa,978-9937-684-72-8,Academic,2022,Newari,25,1089.13,Mandala Book Point,14
Dai Ko Bhavishya,Sangita Thapa,978-9937-278-79-0,Children's books,2021,Newari,8,662.43,Bookhill,9
Himalaya Ko Yatra,Ramesh Rathi,978-9937-968-26-4,Fiction,2023,Hindi,97,616.2,Nepalaya,13
Janata Ko Manch,Suman Thapa,978-9937-947-63-1,Academic,2018,English,54,727.45,Himalayan Book Centre,10
Chal Pani,Raju Kafle,978-9937-504-62-9,Fiction,2024,Hindi,39,994.13,Educational Publishing House,10
Sukh Ko Samaya,Manoj Thapa,978-9937-598-15-9,Academic,2018,Maithili,23,1105.18,Ratna Pustak Bhandar,7
Bharatiya,Nirakar Ghimire,978-9937-876-82-7,Academic,2024,Nepali,59,758.39,Bookhill,17
Chhito,Manjushree Thapa,978-9937-133-54-2,Academic,2018,Newari,91,1704.6,Pragya Publications,8
Bato Ko Katha,Saraswati Prasad Koirala,978-9937-621-97-5,Fiction,2021,Maithili,92,1017.12,Mandala Book Point,19
Nepali Sahyatri,Shrawan Mukarung,978-9937-867-83-3,Academic,2022,Nepali,75,1548.81,Pragya Publications,7
Ghar Ko Yatra,Ramesh Bikal,978-9937-492-54-5,Academic,2019,Newari,55,1940.17,Fine Print,13
Katha Ra Sahitya,Subash Bhandari,978-9937-694-58-7,Academic,2019,Maithili,14,688.52,Mandala Book Point,18
Sanjay,Ashesh Malla,978-9937-312-13-5,Fiction,2023,Maithili,37,272.57,Sajha Prakashan,6
Prashant Ko Katha,Keshav Bhatta,978-9937-875-80-6,Fiction,2020,Maithili,77,1897.98,Nepalaya,8
Yatra Ko Samaya,Dinesh Raj Kafle,978-9937-384-45-8,Fiction,2022,Newari,34,633.76,Ratna Pustak Bhandar,5
Dharmapath Ko Katha,Manoj Kumar,978-9937-723-64-9,Fiction,2021,Maithili,55,1239.24,Nepalaya,20
Samaj Ko Katha,Maya Gurung,978-9937-636-41-1,Fiction,2024,Hindi,43,1492.06,Ratna Pustak Bhandar,8
Sadhana,Rupa Joshi,978-9937-530-15-9,Children's books,2023,Hindi,72,302.74,Ratna Pustak Bhandar,11
Katha Ko Yatra,Bishweshwar Prasad Koirala,978-9937-601-78-2,Academic,2020,Hindi,91,1232.84,Mandala Book Point,11
Yatra Ko Prasiddhi,Ashesh Malla,978-9937-272-40-0,Fiction,2020,Nepali,84,1203.91,Bookhill,6
Mitra,Manoj Kumar,978-9937-369-32-9,Fiction,2018,Nepali,8,1594.15,Himalayan Book Centre,10
Shanti,Girija Prasad Joshi,978-9937-832-72-9,Non-fiction,2020,English,30,787.52,Mandala Book Point,17
Chandra,Yogmaya Neupane,978-9937-699-28-8,Fiction,2021,Hindi,2,1961.22,Fine Print,19
Sanjha,Ravi Thapa,978-9937-754-53-6,Academic,2023,English,17,1911.08,Nepalaya,17
Mero Nepal,Parijat,978-9937-295-58-7,Academic,2023,Newari,8,1903.46,Himalayan Book Centre,16
Bhatbhateni,Suman Pokhrel,978-9937-973-77-5,Academic,2024,English,19,1124.16,Mandala Book Point,18
Chha Bhat,Madan Mani Dixit,978-9937-406-10-2,Children's books,2021,Hindi,2,1123.67,Educational Publishing House,5
Maile Dekheko,Bhanu Aacharya,978-9937-465-11-0,Academic,2021,English,73,499.59,Bookhill,8
Yatra Ko Dhamaka,Deepak Sharma,978-9937-532-84-0,Academic,2020,Newari,29,1745.03,Pragya Publications,13
Katha Ra Bhavana,Bishow Karma,978-9937-427-16-6,Fiction,2022,English,16,783.82,Ratna Pustak Bhandar,19
Bhanu,Suman Thapa,978-9937-224-29-3,Fiction,2023,English,65,771.34,Ratna Pustak Bhandar,12
Rajesh,Rachana Joshi,978-9937-582-14-1,Non-fiction,2023,Nepali,55,370.49,Fine Print,10
Shreeram,Gopal Yonzon,978-9937-957-59-4,Non-fiction,2024,Hindi,29,1210.79,Educational Publishing House,20
Krishna,Dinesh Raj Kafle,978-9937-570-97-2,Fiction,2022,Hindi,86,1803.43,Educational Publishing House,17
Brahma,Prema Shah,978-9937-867-50-9,Fiction,2020,English,28,677.29,Himalayan Book Centre,18
Gurujan,Dinesh Sharma,978-9937-160-49-4,Academic,2020,Maithili,34,788.14,Himalayan Book Centre,12
Kailash,Siddhicharan Shrestha,978-9937-179-55-3,Fiction,2020,Hindi,7,1341.36,Fine Print,17
Yashoda,Saroj Bhandari,978-9937-639-55-5,Children's books,2020,Maithili,70,229.95,Educational Publishing House,17
Pratik,Arun Kumar Shrestha,978-9937-933-35-5,Fiction,2022,Nepali,18,1814.82,Bookhill,16
Dev,Dinesh Raj Kafle,978-9937-581-66-0,Fiction,2021,Newari,61,862.56,Mandala Book Point,12
Dharma,Narayan Wagle,978-9937-908-39-2,Fiction,2022,Newari,47,1053.66,Pragya Publications,15
Maya Ra Manav,Prema Shah,978-9937-595-47-0,Non-fiction,2020,Newari,46,1499.04,Mandala Book Point,10
Pashupati,Yogendra Kandel,978-9937-723-41-7,Children's books,2019,Maithili,81,459.81,Fine Print,10
Chhoto Katha,Geeta Tripathee,978-9937-152-96-0,Academic,2023,Hindi,1,379.92,Nepalaya,19
Ankur,Sudeep Koirala,978-9937-907-47-0,Children's books,2020,Maithili,77,1783.14,Ratna Pustak Bhandar,16
Aastha,Shrawan Mukarung,978-9937-702-94-4,Fiction,2018,English,53,1160.72,Mandala Book Point,9
Naya Sangraha,Keshav Bhatta,978-9937-789-72-3,Fiction,2022,Maithili,15,708.88,Fine Print,7
Samuday,Gopal Prasad Rimal,978-9937-372-35-1,Academic,2021,Maithili,22,1704.18,Fine Print,19
Bhim,Siddhicharan Shrestha,978-9937-904-80-4,Fiction,2024,Nepali,27,502.42,Educational Publishing House,9
Yatra Ko Antim Katha,Bishweshwar Prasad Koirala,978-9937-513-68-7,Fiction,2019,Newari,72,1023.4,Ratna Pustak Bhandar,14
Sankalpa,Narayan Wagle,978-9937-570-57-1,Children's books,2019,Maithili,42,388.94,Sajha Prakashan,13
Bhagawati,Shrawan Mukarung,978-9937-852-18-5,Fiction,2024,Hindi,44,1902.35,Himalayan Book Centre,5
Anand,Gopal Yonzon,978-9937-982-90-9,Fiction,2020,English,28,684.7,Nepalaya,20
Sakal,Dharma Ratna Yami,978-9937-619-87-9,Academic,2022,Maithili,65,530.44,Sajha Prakashan,8
Shree 5,Khagendra Sangraula,978-9937-466-75-0,Fiction,2019,Hindi,38,770.63,Sajha Prakashan,17
Nepali Ranga,Madan Mani Dixit,978-9937-642-35-3,Fiction,2024,Hindi,90,429.32,Bookhill,8
Mero Ghar,Dharanidhar Koirala,978-9937-483-17-7,Academic,2024,Newari,13,1513.02,Bookhill,16
Sathi,Upendra Subba,978-9937-174-82-2,Fiction,2019,English,15,1154.54,Pragya Publications,20
Pramod,Abhijit Khatri,978-9937-348-27-8,Academic,2018,Maithili,3,427.39,Mandala Book Point,11
Saroj,Hangyug Agyat,978-9937-931-24-5,Fiction,2020,Newari,47,298.09,Mandala Book Point,17
Ujjwal,Dhruba Chandra Gautam,978-9937-432-57-8,Fiction,2023,Maithili,69,675.87,Ratna Pustak Bhandar,10
Adhura,Yogendra Kandel,978-9937-974-59-4,Fiction,2021,Maithili,8,692.48,Sajha Prakashan,19
Tika,Umesh Niraula,978-9937-591-49-5,Children's books,2019,Maithili,55,979.81,Himalayan Book Centre,16
Nirmal,Dipesh Sharma,978-9937-593-96-0,Fiction,2023,Newari,67,1520.8,Bookhill,16
Sanjay Ko Katha,Kiran Shrestha,978-9937-580-31-0,Fiction,2024,Maithili,27,959.54,Mandala Book Point,6
Katha Ra Vikas,Dinesh Raj Kafle,978-9937-653-58-1,Academic,2022,Hindi,90,1608.95,Educational Publishing House,7
Jatra Ko Safar,Manoj Kumar,978-9937-832-54-0,Fiction,2020,Newari,35,450.77,Ekta Books,6
Ritu,Suman Thapa,978-9937-639-83-4,Non-fiction,2024,English,21,802.07,Educational Publishing House,10
Maya Ra Shanti,Bhupi Sherchan,978-9937-709-48-5,Fiction,2021,Maithili,0,1643.02,Ekta Books,19
Samaya Ra Katha,Sangita Thapa,978-9937-984-16-5,Fiction,2021,Nepali,39,810.68,Nepalaya,20
Himalaya Ko Ghar,Aastha Sharma,978-9937-464-58-5,Fiction,2021,Newari,64,1820.38,Mandala Book Point,15
Sukha Ko Yatra,Dipesh Sharma,978-9937-539-56-5,Academic,2021,Newari,27,484.39,Ekta Books,8
Ranga,Ramesh Rathi,978-9937-688-19-3,Non-fiction,2019,English,99,874.42,Himalayan Book Centre,12
Yatra Ko Udaan,Suman Pokhrel,978-9937-761-70-1,Fiction,2022,English,2,1724.1,Fine Print,7
Maanav Ka Yatra,Dipesh Sharma,978-9937-772-59-1,Fiction,2021,English,58,1860.48,Educational Publishing House,7
Sajilo Yatra,Bhanubhakta Acharya,978-9937-901-70-8,Fiction,2023,Hindi,27,959.08,Himalayan Book Centre,18
Katha Ra Kura,Suman Thapa,978-9937-652-61-0,Academic,2019,English,14,391.87,Pragya Publications,6
Bato Ko Sathi,Dipesh Sharma,978-9937-679-60-9,Fiction,2023,English,68,852.98,Educational Publishing House,10
Katha Ko Chha,Dhruba Chandra Gautam,978-9937-133-55-6,Fiction,2024,Nepali,33,1160.81,Educational Publishing House,8
Maya Ko Safar,Bhim Nidhi Tiwari,978-9937-146-85-6,Academic,2021,Nepali,31,1603.34,Sajha Prakashan,7
Yatra Ko Sangraha,Shivaji Shrestha,978-9937-603-18-6,Fiction,2023,Nepali,37,931.99,Pragya Publications,18
Nepal Ko Mitra,Krishna Kumar Bhandari,978-9937-540-97-6,Fiction,2023,Maithili,42,1172.93,Bookhill,20
Dharma Ko Yatra,Umesh Niraula,978-9937-508-73-0,Fiction,2018,Newari,42,1190.93,Pragya Publications,19
Mero Sakha,Ramesh Bikal,978-9937-443-70-2,Fiction,2023,Nepali,13,763.36,Ekta Books,17
Yatra Ko Katha,Kamal Narayan Khand,978-9937-461-95-2,Academic,2019,English,91,247.86,Himalayan Book Centre,10
Maya Ra Sathi,Buddhi Narayan Shrestha,978-9937-647-42-3,Fiction,2018,Maithili,4,1034.88,Nepalaya,14
Mero Sahyatri,Khagendra Sangraula,978-9937-882-12-4,Fiction,2021,Newari,79,903.04,Nepalaya,10
Dai Ko Yatra,Bhanubhakta Acharya,978-9937-101-13-5,Academic,2023,English,70,1954.29,Fine Print,13
Sathi Ko Katha,Maya Gurung,978-9937-516-50-2,Academic,2021,Newari,59,445.08,Nepalaya,8
Shree 5 Ko Yatra,Madan Mani Dixit,978-9937-738-25-6,Non-fiction,2020,English,3,671.78,Bookhill,15
Nepal Ko Kahani,Umesh Niraula,978-9937-882-85-8,Fiction,2022,Nepali,67,1354.61,Pragya Publications,5
Kahani Ko Udaan,Buddhi Narayan Shrestha,978-9937-323-11-5,Fiction,2022,Hindi,65,1840.8,Mandala Book Point,7
Yatra Ko Santaan,Pratiksha Sharma,978-9937-471-83-4,Academic,2018,Newari,44,521.37,Fine Print,19
Maanav Ra Yatra,Nisha Kharel,978-9937-390-90-8,Children's books,2022,Hindi,57,1042.29,Pragya Publications,20
Yatra Ra Bato,Sanjay Baral,978-9937-137-71-7,Non-fiction,2020,Maithili,49,1516.44,Himalayan Book Centre,11
Katha Ko Katha,Abhi Subedi,978-9937-109-97-0,Fiction,2023,English,63,1704.95,Pragya Publications,12
Maya Ra Yatra,Dinesh Raj Kafle,978-9937-278-20-8,Academic,2018,Hindi,51,1588.12,Ratna Pustak Bhandar,20
Maya Ra Ghar,Sarita Ghimire,978-9937-975-26-2,Fiction,2019,Hindi,65,1855.87,Pragya Publications,11
Katha Ra Jatra,Nitin Sitaula,978-9937-634-66-7,Academic,2019,Nepali,61,424.0,Ekta Books,19
Kaal Ko Ghar,Yogmaya Neupane,978-9937-795-37-8,Fiction,2018,English,49,1777.58,Ratna Pustak Bhandar,9
Yug Dekhi Yug Samma,Purnima Acharya,978-9937-971-90-0,Fiction,2022,Hindi,58,952.12,Fine Print,5
Saraswati Prasad,Aastha Sharma,978-9937-203-77-7,Academic,2018,English,54,1277.4,Himalayan Book Centre,18
Chandra Gurung,Rachana Joshi,978-9937-681-47-5,Academic,2019,Maithili,4,908.11,Himalayan Book Centre,10
Kagbeni Ko Bato,Subash Bhandari,978-9937-279-16-5,Academic,2020,Nepali,82,1643.42,Ekta Books,9
Khushi Ra Dukh,Parijat,978-9937-443-72-4,Academic,2021,Maithili,21,1547.44,Nepalaya,18
Sathi Ko Sandesh,Saroj Bhandari,978-9937-658-12-3,Fiction,2024,Maithili,7,1021.11,Bookhill,15
Maya Ko Ghar,Kiran Shrestha,978-9937-952-78-7,Fiction,2022,Hindi,80,1655.88,Sajha Prakashan,17
Jindagiko Hawa,Dinesh Raj Kafle,978-9937-465-73-6,Non-fiction,2021,Nepali,1,1382.81,Mandala Book Point,8
Panchhi,Kedar Man Singh,978-9937-782-94-8,Children's books,2019,English,88,362.98,Bookhill,6
Chhalfal,Nisha Kharel,978-9937-800-55-9,Academic,2023,English,32,990.89,Fine Print,16
Man Ko Haat,Dinesh Raj Kafle,978-9937-667-64-2,Fiction,2022,Nepali,19,1680.22,Fine Print,12
Dhaakko Chha,Girija Prasad Joshi,978-9937-276-28-8,Fiction,2021,Hindi,28,1825.65,Himalayan Book Centre,5
Katha Haru,Ramesh Rathi,978-9937-178-94-8,Fiction,2018,Hindi,83,1724.54,Ratna Pustak Bhandar,13
Bhoj Ko Katha,Dinesh Raj Kafle,978-9937-288-81-4,Academic,2018,Newari,89,917.74,Bookhill,10
Ghar Ko Sapana,Upendra Subba,978-9937-122-88-3,Fiction,2022,English,71,1870.3,Bookhill,17
Sanjha Ko Sathi,Dharma Ratna Yami,978-9937-772-84-1,Academic,2024,Nepali,85,823.38,Nepalaya,6
Mangal Singh,Gopal Yonzon,978-9937-366-78-3,Fiction,2019,Hindi,43,1966.58,Nepalaya,19
Aama Ko Chora,Banira Giri,978-9937-745-15-2,Academic,2018,English,49,1870.71,Fine Print,19
Paisa Ko Katha,Bhanu Aacharya,978-9937-907-84-4,Academic,2022,Hindi,14,1729.85,Pragya Publications,12
Kaatnako Paani,Banira Giri,978-9937-856-50-1,Fiction,2020,Newari,33,894.41,Fine Print,7
Shrestha Manchhe,Banira Giri,978-9937-817-62-6,Fiction,2019,English,59,1471.79,Ekta Books,10
Maya Ko Dhan,Madhav Prasad Ghimire,978-9937-235-76-0,Academic,2024,Nepali,48,664.01,Ratna Pustak Bhandar,8
Katha Ra Kahani,Madhav Prasad Ghimire,978-9937-212-26-4,Academic,2022,Maithili,61,217.43,Himalayan Book Centre,12
Dharma Ko Dhan,Manoj Kumar Sitaula,978-9937-122-42-3,Children's books,2024,English,38,1535.07,Ratna Pustak Bhandar,15
Chhimeki,Arun Kumar Shrestha,978-9937-591-76-1,Fiction,2022,Nepali,45,681.9,Educational Publishing House,8
Bhul Bhulaiyaa,Buddhi Narayan Shrestha,978-9937-294-73-1,Fiction,2018,English,40,1572.76,Mandala Book Point,9
Bujhnu Parne Katha,Anupama Bhattarai,978-9937-175-14-3,Academic,2021,Maithili,84,1566.47,Ekta Books,15
Phool Ko Bahar,Pratiksha Sharma,978-9937-947-58-4,Non-fiction,2021,Maithili,70,1443.68,Fine Print,20
Manchhe Ko Aakanksha,Dharma Ratna Yami,978-9937-959-77-2,Fiction,2024,English,22,1186.74,Ratna Pustak Bhandar,13
Jatra Ko Bato,Rajan Mukarung,978-9937-903-84-9,Academic,2019,Newari,42,733.94,Nepalaya,9
Kina,Saraswati Prasad Koirala,978-9937-230-80-2,Fiction,2019,Nepali,89,632.98,Ekta Books,11
Bholi Ko Katha,Ramesh Kshitij,978-9937-847-80-8,Non-fiction,2021,Nepali,35,1059.47,Educational Publishing House,15
Ankhako Pani,Sarita Ghimire,978-9937-657-70-5,Non-fiction,2023,Newari,67,1345.68,Mandala Book Point,19
Maya Ko Rukh,Sanjay Kumar Thapa,978-9937-680-54-8,Fiction,2022,Maithili,43,1880.24,Bookhill,20
Ghumti Duniya,Buddhisagar,978-9937-938-39-7,Fiction,2021,Maithili,26,1208.39,Fine Print,8
Sanjha Ko Dhamaka,Parijat,978-9937-107-28-0,Non-fiction,2021,English,93,1905.16,Educational Publishing House,9
Yatra Ma Katha,Sanjay Kumar Thapa,978-9937-236-18-7,Fiction,2023,Hindi,6,275.72,Bookhill,18
Sathi Ra Maya,Krishna Kumar Bhandari,978-9937-162-13-8,Fiction,2023,Newari,47,513.76,Nepalaya,8
Sikshya Ko Paila,Dipesh Sharma,978-9937-541-43-6,Fiction,2024,Nepali,11,1348.17,Fine Print,9
Katha Pustak,Krishna Bhooshan Bal,978-9937-888-20-4,Fiction,2022,English,94,1034.8,Fine Print,7
Anand Ko Vishwa,Manoj Thapa,978-9937-119-28-7,Academic,2022,Nepali,74,877.95,Bookhill,16
Mantra Ko Sadhana,Manoj Kumar Sitaula,978-9937-817-86-9,Children's books,2023,English,72,217.58,Mandala Book Point,9
Aama Ko Parcha,Saraswati Prasad Koirala,978-9937-270-26-5,Fiction,2018,Nepali,8,1940.03,Educational Publishing House,10
Sajilo Katha,Sanjay Baral,978-9937-264-28-8,Fiction,2021,English,31,1690.74,Bookhill,6
Ramailo Jeevan,Dinesh Raj Kafle,978-9937-284-33-8,Non-fiction,2020,Newari,68,320.87,Bookhill,9
Maya Ra Katha,Sanjay Baral,978-9937-675-20-3,Non-fiction,2021,Newari,25,1112.71,Ekta Books,11
Samaya Ko Dhamaka,Saroj Sharma,978-9937-700-37-0,Academic,2020,Newari,98,1646.94,Pragya Publications,11
Madhav Ko Bato,Abhijit Khatri,978-9937-150-22-3,Fiction,2023,English,26,1556.68,Educational Publishing House,6
Bholi Ka Katha,Krishna Bhooshan Bal,978-9937-508-97-6,Academic,2024,Nepali,15,833.14,Ekta Books,19
Duniya Ko Sathi,Suman Pokhrel,978-9937-203-35-2,Non-fiction,2018,English,76,1255.94,Ekta Books,5
Sathi Ko Maya,Nirakar Shrestha,978-9937-779-22-0,Fiction,2023,Maithili,99,227.67,Ekta Books,8
Ghar Ko Anand,Hangyug Agyat,978-9937-197-26-9,Non-fiction,2019,Hindi,51,816.24,Pragya Publications,19
Dharma Ko Patra,Sanjay Kumar Thapa,978-9937-494-89-7,Fiction,2019,Maithili,96,877.22,Mandala Book Point,15
Man Ko Geet,Nitin Sitaula,978-9937-466-47-2,Academic,2018,Hindi,17,1420.05,Bookhill,6
Asha Ko Sathi,Samrat Upadhyay,978-9937-798-39-7,Fiction,2024,Nepali,81,1366.07,Pragya Publications,19
Katha Haru Ko Sanga,Maya Gurung,978-9937-948-56-4,Fiction,2018,Maithili,37,1562.51,Sajha Prakashan,14
Yatra Ma Muktak,Gopal Prasad Rimal,978-9937-255-45-5,Fiction,2019,English,99,1231.59,Sajha Prakashan,10
Pani Ra Paryawaran,Gopal Prasad Rimal,978-9937-757-80-7,Fiction,2021,Nepali,83,1786.32,Ratna Pustak Bhandar,6
Bhalu Ko Ghar,Shrawan Mukarung,978-9937-278-88-7,Non-fiction,2019,English,98,1192.21,Fine Print,6
Khiladi,Manoj Thapa,978-9937-170-40-8,Fiction,2019,Maithili,16,1411.7,Fine Print,15
Yug Ko Maya,Rupa Joshi,978-9937-580-92-5,Non-fiction,2024,Newari,11,552.32,Himalayan Book Centre,5
Dhoondh,Krishna Bhooshan Bal,978-9937-484-50-6,Fiction,2019,Maithili,54,839.23,Ekta Books,8
Bhukampa,Pratik Shrestha,978-9937-256-54-7,Academic,2023,Maithili,27,1475.44,Sajha Prakashan,14
Dharma Ra Dhan,Dinesh Raj Kafle,978-9937-817-59-8,Children's books,2023,English,80,1461.3,Fine Print,14
Ghar Ko Dhan,Dinesh Sharma,978-9937-479-34-1,Fiction,2021,Nepali,45,390.24,Fine Print,13
Yatra Ra Mantra,Siddhicharan Shrestha,978-9937-505-70-5,Non-fiction,2021,Newari,15,865.94,Himalayan Book Centre,12
Phool Ko Ghar,Umesh Niraula,978-9937-578-58-7,Non-fiction,2023,Hindi,71,330.17,Educational Publishing House,20
Samay Ko Samasya,Saroj Bhandari,978-9937-970-99-2,Academic,2022,English,75,1912.24,Mandala Book Point,12
Aasha Ko Paila,Ramesh Kshitij,978-9937-337-27-9,Children's books,2019,Newari,67,1582.54,Bookhill,11
Chhimeki Ko Bato,Khagendra Sangraula,978-9937-126-88-2,Fiction,2019,English,29,1963.18,Bookhill,8
Khushi Ko Katha,Shanti Thapa,978-9937-962-49-3,Academic,2019,English,90,621.07,Nepalaya,5
Samaya Ko Katha,Abhi Subedi,978-9937-169-23-1,Children's books,2024,Newari,53,532.25,Sajha Prakashan,14
Ghar Ko Prakash,Rajan Mukarung,978-9937-933-35-2,Non-fiction,2023,Newari,84,1751.39,Ekta Books,15
Dhan Ko Dhoka,Samrat Upadhyay,978-9937-826-70-9,Academic,2019,English,96,929.07,Sajha Prakashan,13
Aankhako Samaya,Deepak Sharma,978-9937-610-74-3,Fiction,2024,Nepali,11,1692.51,Himalayan Book Centre,16
Samay Ma Ramailo,Geeta Tripathee,978-9937-785-49-7,Academic,2023,Maithili,15,1056.48,Ratna Pustak Bhandar,20
Sajha Ko Dhan,Arun Kumar Shrestha,978-9937-460-70-9,Academic,2022,Hindi,9,1979.17,Ekta Books,20
Jatra Ko Maya,Yogendra Kandel,978-9937-188-89-7,Children's books,2020,English,52,936.2,Pragya Publications,16
Jindagiko Dhan,Raju Kafle,978-9937-335-69-9,Academic,2020,Hindi,41,915.14,Pragya Publications,15
Katha Ko Samaya,Bishow Karma,978-9937-810-13-4,Academic,2018,English,85,1639.26,Nepalaya,16
Man Ko Parivartan,Nayan Raj Pandey,978-9937-270-97-5,Academic,2024,Maithili,4,1210.07,Educational Publishing House,17
Maya Ra Udaan,Banira Giri,978-9937-152-27-0,Academic,2023,English,38,1304.27,Pragya Publications,13
Katha Ra Samaya,Gopal Yonzon,978-9937-374-26-5,Fiction,2023,Maithili,91,493.95,Ratna Pustak Bhandar,13
Sathi Ko Paila,Pawan Thapa,978-9937-543-32-6,Academic,2019,Newari,34,473.33,Pragya Publications,6
Ghar Ko Ramailo,Dharanidhar Koirala,978-9937-703-19-4,Academic,2024,English,8,1136.99,Educational Publishing House,10
Anand Ko Ghar,Ramesh Rathi,978-9937-518-11-4,Non-fiction,2018,Hindi,0,951.92,Ekta Books,15
Bhulbhal,Dhruba Chandra Gautam,978-9937-170-55-1,Academic,2018,Newari,26,741.13,Ekta Books,15
Phool Ko Ramailo,Nirakar Shrestha,978-9937-761-72-6,Children's books,2022,English,14,826.74,Sajha Prakashan,17
Ankhako Anand,Pratiksha Sharma,978-9937-784-95-9,Children's books,2022,Newari,52,946.4,Fine Print,18
Dharma Ra Duniya,Sanjay Kumar Thapa,978-9937-833-23-1,Academic,2023,English,68,806.61,Sajha Prakashan,14
Khushi Ko Aangan,Gopal Yonzon,978-9937-694-30-7,Fiction,2023,Hindi,65,681.51,Bookhill,14
Duniya Ko Katha,Pratik Shrestha,978-9937-626-24-0,Children's books,2021,Nepali,54,1685.99,Educational Publishing House,6
Yug Ko Ghar,Nitin Sitaula,978-9937-668-74-4,Academic,2022,Hindi,33,1280.67,Mandala Book Point,5
Samaya Ma Ghar,Arun Kumar Shrestha,978-9937-971-54-8,Non-fiction,2019,English,52,1391.38,Sajha Prakashan,18
Sajilo Samaya,Kamala Panta,978-9937-190-57-5,Non-fiction,2019,English,9,414.05,Sajha Prakashan,16
Aama Ko Chhota,Sudeep Koirala,978-9937-148-88-0,Fiction,2023,Hindi,40,1799.38,Fine Print,6
Dhaak Ko Ghar,Gokul Joshi,978-9937-263-28-4,Academic,2019,Hindi,66,1497.26,Bookhill,16
Kahani Ko Duniya,Kiran Shrestha,978-9937-558-79-2,Non-fiction,2024,Nepali,36,761.42,Pragya Publications,13
Duniya Ko Manchhe,Suman Pokhrel,978-9937-689-70-8,Academic,2020,English,55,1885.96,Nepalaya,9
Panchhi Ra Katha,Shankar Lamichhane,978-9937-788-88-0,Non-fiction,2020,Maithili,16,874.17,Pragya Publications,6
Yatra Ko Ghar,Prema Shah,978-9937-211-35-9,Non-fiction,2023,Hindi,84,1769.07,Fine Print,14
